,x,y,label,waving
0,0.17258833,0.17258833,5,0
1,0.22734217,0.22734217,6,0
2,0.20341735,0.20341735,7,0
3,0.51291484,0.51291484,8,0
4,0.025137912,0.025137912,9,0
5,0.61286867,0.61286867,10,0
6,0.17258833,0.17258833,5,0
7,0.22734217,0.22734217,6,0
8,0.20341735,0.20341735,7,0
9,0.51291484,0.51291484,8,0
10,0.025137912,0.025137912,9,0
11,0.61286867,0.61286867,10,0
12,0.17258833,0.17258833,5,0
13,0.22734217,0.22734217,6,0
14,0.20341735,0.20341735,7,0
15,0.51291484,0.51291484,8,0
16,0.025137912,0.025137912,9,0
17,0.61286867,0.61286867,10,0
18,0.17258833,0.17258833,5,0
19,0.22734217,0.22734217,6,0
20,0.20341735,0.20341735,7,0
21,0.51291484,0.51291484,8,0
22,0.025137912,0.025137912,9,0
23,0.61286867,0.61286867,10,0
24,0.17258833,0.17258833,5,0
25,0.22734217,0.22734217,6,0
26,0.20341735,0.20341735,7,0
27,0.51291484,0.51291484,8,0
28,0.025137912,0.025137912,9,0
29,0.61286867,0.61286867,10,0
30,0.17258833,0.17258833,5,0
31,0.22734217,0.22734217,6,0
32,0.20341735,0.20341735,7,0
33,0.51291484,0.51291484,8,0
34,0.025137912,0.025137912,9,0
35,0.61286867,0.61286867,10,0
36,0.17258833,0.17258833,5,0
37,0.22734217,0.22734217,6,0
38,0.20341735,0.20341735,7,0
39,0.51291484,0.51291484,8,0
40,0.025137912,0.025137912,9,0
41,0.61286867,0.61286867,10,0
42,0.17258833,0.17258833,5,0
43,0.22734217,0.22734217,6,0
44,0.20341735,0.20341735,7,0
45,0.51291484,0.51291484,8,0
46,0.025137912,0.025137912,9,0
47,0.61286867,0.61286867,10,0
48,0.17258833,0.17258833,5,0
49,0.22734217,0.22734217,6,0
50,0.20341735,0.20341735,7,0
51,0.51291484,0.51291484,8,0
52,0.025137912,0.025137912,9,0
53,0.61286867,0.61286867,10,0
54,0.17258833,0.17258833,5,0
55,0.22734217,0.22734217,6,0
56,0.20341735,0.20341735,7,0
57,0.51291484,0.51291484,8,0
58,0.025137912,0.025137912,9,0
59,0.61286867,0.61286867,10,0
60,0.17258833,0.17258833,5,0
61,0.22734217,0.22734217,6,0
62,0.20341735,0.20341735,7,0
63,0.51291484,0.51291484,8,0
64,0.025137912,0.025137912,9,0
65,0.61286867,0.61286867,10,0
66,0.17258833,0.17258833,5,0
67,0.22734217,0.22734217,6,0
68,0.20341735,0.20341735,7,0
69,0.51291484,0.51291484,8,0
70,0.025137912,0.025137912,9,0
71,0.61286867,0.61286867,10,0
72,0.17258833,0.17258833,5,0
73,0.22734217,0.22734217,6,0
74,0.20341735,0.20341735,7,0
75,0.51291484,0.51291484,8,0
76,0.025137912,0.025137912,9,0
77,0.61286867,0.61286867,10,0
78,0.17258833,0.17258833,5,0
79,0.22734217,0.22734217,6,0
80,0.20341735,0.20341735,7,0
81,0.51291484,0.51291484,8,0
82,0.025137912,0.025137912,9,0
83,0.61286867,0.61286867,10,0
84,0.17258833,0.17258833,5,0
85,0.22734217,0.22734217,6,0
86,0.20341735,0.20341735,7,0
87,0.51291484,0.51291484,8,0
88,0.025137912,0.025137912,9,0
89,0.61286867,0.61286867,10,0
90,0.17258833,0.17258833,5,0
91,0.22734217,0.22734217,6,0
92,0.20341735,0.20341735,7,0
93,0.51291484,0.51291484,8,0
94,0.025137912,0.025137912,9,0
95,0.61286867,0.61286867,10,0
96,0.17258833,0.17258833,5,0
97,0.22734217,0.22734217,6,0
98,0.20341735,0.20341735,7,0
99,0.51291484,0.51291484,8,0
100,0.025137912,0.025137912,9,0
101,0.61286867,0.61286867,10,0
102,0.17258833,0.17258833,5,0
103,0.22734217,0.22734217,6,0
104,0.20341735,0.20341735,7,0
105,0.51291484,0.51291484,8,0
106,0.025137912,0.025137912,9,0
107,0.61286867,0.61286867,10,0
108,0.17258833,0.17258833,5,0
109,0.22734217,0.22734217,6,0
110,0.20341735,0.20341735,7,0
111,0.51291484,0.51291484,8,0
112,0.025137912,0.025137912,9,0
113,0.61286867,0.61286867,10,0
114,0.17258833,0.17258833,5,0
115,0.22734217,0.22734217,6,0
116,0.20341735,0.20341735,7,0
117,0.51291484,0.51291484,8,0
118,0.025137912,0.025137912,9,0
119,0.61286867,0.61286867,10,0
120,0.17258833,0.17258833,5,0
121,0.22734217,0.22734217,6,0
122,0.20341735,0.20341735,7,0
123,0.51291484,0.51291484,8,0
124,0.025137912,0.025137912,9,0
125,0.61286867,0.61286867,10,0
126,0.17258833,0.17258833,5,0
127,0.22734217,0.22734217,6,0
128,0.20341735,0.20341735,7,0
129,0.51291484,0.51291484,8,0
130,0.025137912,0.025137912,9,0
131,0.61286867,0.61286867,10,0
132,0.17258833,0.17258833,5,0
133,0.22734217,0.22734217,6,0
134,0.20341735,0.20341735,7,0
135,0.51291484,0.51291484,8,0
136,0.025137912,0.025137912,9,0
137,0.61286867,0.61286867,10,0
138,0.17258833,0.17258833,5,0
139,0.22734217,0.22734217,6,0
140,0.20341735,0.20341735,7,0
141,0.51291484,0.51291484,8,0
142,0.025137912,0.025137912,9,0
143,0.61286867,0.61286867,10,0
144,0.17258833,0.17258833,5,0
145,0.22734217,0.22734217,6,0
146,0.20341735,0.20341735,7,0
147,0.51291484,0.51291484,8,0
148,0.025137912,0.025137912,9,0
149,0.61286867,0.61286867,10,0
150,0.17258833,0.17258833,5,0
151,0.22734217,0.22734217,6,0
152,0.20341735,0.20341735,7,0
153,0.51291484,0.51291484,8,0
154,0.025137912,0.025137912,9,0
155,0.61286867,0.61286867,10,0
156,0.17258833,0.17258833,5,0
157,0.22734217,0.22734217,6,0
158,0.20341735,0.20341735,7,0
159,0.51291484,0.51291484,8,0
160,0.025137912,0.025137912,9,0
161,0.61286867,0.61286867,10,0
162,0.17258833,0.17258833,5,0
163,0.22734217,0.22734217,6,0
164,0.20341735,0.20341735,7,0
165,0.51291484,0.51291484,8,0
166,0.025137912,0.025137912,9,0
167,0.61286867,0.61286867,10,0
168,0.17258833,0.17258833,5,0
169,0.22734217,0.22734217,6,0
170,0.20341735,0.20341735,7,0
171,0.51291484,0.51291484,8,0
172,0.025137912,0.025137912,9,0
173,0.61286867,0.61286867,10,0
174,0.17258833,0.17258833,5,0
175,0.22734217,0.22734217,6,0
176,0.20341735,0.20341735,7,0
177,0.51291484,0.51291484,8,0
178,0.025137912,0.025137912,9,0
179,0.61286867,0.61286867,10,0
180,0.17258833,0.17258833,5,0
181,0.22734217,0.22734217,6,0
182,0.20341735,0.20341735,7,0
183,0.51291484,0.51291484,8,0
184,0.025137912,0.025137912,9,0
185,0.61286867,0.61286867,10,0
186,0.17258833,0.17258833,5,0
187,0.22734217,0.22734217,6,0
188,0.20341735,0.20341735,7,0
189,0.51291484,0.51291484,8,0
190,0.025137912,0.025137912,9,0
191,0.61286867,0.61286867,10,0
192,0.17258833,0.17258833,5,0
193,0.22734217,0.22734217,6,0
194,0.20341735,0.20341735,7,0
195,0.51291484,0.51291484,8,0
196,0.025137912,0.025137912,9,0
197,0.61286867,0.61286867,10,0
198,0.17258833,0.17258833,5,0
199,0.22734217,0.22734217,6,0
200,0.20341735,0.20341735,7,0
201,0.51291484,0.51291484,8,0
202,0.025137912,0.025137912,9,0
203,0.61286867,0.61286867,10,0
204,0.17258833,0.17258833,5,0
205,0.22734217,0.22734217,6,0
206,0.20341735,0.20341735,7,0
207,0.51291484,0.51291484,8,0
208,0.025137912,0.025137912,9,0
209,0.61286867,0.61286867,10,0
210,0.17258833,0.17258833,5,0
211,0.22734217,0.22734217,6,0
212,0.20341735,0.20341735,7,0
213,0.51291484,0.51291484,8,0
214,0.025137912,0.025137912,9,0
215,0.61286867,0.61286867,10,0
216,0.17258833,0.17258833,5,0
217,0.22734217,0.22734217,6,0
218,0.20341735,0.20341735,7,0
219,0.51291484,0.51291484,8,0
220,0.025137912,0.025137912,9,0
221,0.61286867,0.61286867,10,0
222,0.17258833,0.17258833,5,0
