,x,y,label,waving
0,0.26162395,0.26162395,5,0
1,0.2450162,0.2450162,6,0
2,0.39513776,0.39513776,7,0
3,0.35740992,0.35740992,8,0
4,0.45733136,0.45733136,9,0
5,0.33918458,0.33918458,10,0
6,0.26162395,0.26162395,5,0
7,0.2450162,0.2450162,6,0
8,0.39513776,0.39513776,7,0
9,0.35740992,0.35740992,8,0
10,0.45733136,0.45733136,9,0
11,0.33918458,0.33918458,10,0
12,0.26162395,0.26162395,5,0
13,0.2450162,0.2450162,6,0
14,0.39513776,0.39513776,7,0
15,0.35740992,0.35740992,8,0
16,0.45733136,0.45733136,9,0
17,0.33918458,0.33918458,10,0
18,0.26162395,0.26162395,5,0
19,0.2450162,0.2450162,6,0
20,0.39513776,0.39513776,7,0
21,0.35740992,0.35740992,8,0
22,0.45733136,0.45733136,9,0
23,0.33918458,0.33918458,10,0
24,0.26162395,0.26162395,5,0
25,0.2450162,0.2450162,6,0
26,0.39513776,0.39513776,7,0
27,0.35740992,0.35740992,8,0
28,0.45733136,0.45733136,9,0
29,0.33918458,0.33918458,10,0
30,0.26162395,0.26162395,5,0
31,0.2450162,0.2450162,6,0
32,0.39513776,0.39513776,7,0
33,0.35740992,0.35740992,8,0
34,0.45733136,0.45733136,9,0
35,0.33918458,0.33918458,10,0
36,0.26162395,0.26162395,5,0
37,0.2450162,0.2450162,6,0
38,0.39513776,0.39513776,7,0
39,0.35740992,0.35740992,8,0
40,0.45733136,0.45733136,9,0
41,0.33918458,0.33918458,10,0
42,0.26162395,0.26162395,5,0
43,0.2450162,0.2450162,6,0
44,0.39513776,0.39513776,7,0
45,0.35740992,0.35740992,8,0
46,0.45733136,0.45733136,9,0
47,0.33918458,0.33918458,10,0
48,0.26162395,0.26162395,5,0
49,0.2450162,0.2450162,6,0
50,0.39513776,0.39513776,7,0
51,0.35740992,0.35740992,8,0
52,0.45733136,0.45733136,9,0
53,0.33918458,0.33918458,10,0
54,0.26162395,0.26162395,5,0
55,0.2450162,0.2450162,6,0
56,0.39513776,0.39513776,7,0
57,0.35740992,0.35740992,8,0
58,0.45733136,0.45733136,9,0
59,0.33918458,0.33918458,10,0
60,0.26162395,0.26162395,5,0
61,0.2450162,0.2450162,6,0
62,0.39513776,0.39513776,7,0
63,0.35740992,0.35740992,8,0
64,0.45733136,0.45733136,9,0
65,0.33918458,0.33918458,10,0
66,0.26162395,0.26162395,5,0
67,0.2450162,0.2450162,6,0
68,0.39513776,0.39513776,7,0
69,0.35740992,0.35740992,8,0
70,0.45733136,0.45733136,9,0
71,0.33918458,0.33918458,10,0
72,0.26162395,0.26162395,5,0
73,0.2450162,0.2450162,6,0
74,0.39513776,0.39513776,7,0
75,0.35740992,0.35740992,8,0
76,0.45733136,0.45733136,9,0
77,0.33918458,0.33918458,10,0
78,0.26162395,0.26162395,5,0
79,0.2450162,0.2450162,6,0
80,0.39513776,0.39513776,7,0
81,0.35740992,0.35740992,8,0
82,0.45733136,0.45733136,9,0
83,0.33918458,0.33918458,10,0
84,0.26162395,0.26162395,5,0
85,0.2450162,0.2450162,6,0
86,0.39513776,0.39513776,7,0
87,0.35740992,0.35740992,8,0
88,0.45733136,0.45733136,9,0
89,0.33918458,0.33918458,10,0
90,0.26162395,0.26162395,5,0
91,0.2450162,0.2450162,6,0
92,0.39513776,0.39513776,7,0
93,0.35740992,0.35740992,8,0
94,0.45733136,0.45733136,9,0
95,0.33918458,0.33918458,10,0
96,0.26162395,0.26162395,5,0
97,0.2450162,0.2450162,6,0
98,0.39513776,0.39513776,7,0
99,0.35740992,0.35740992,8,0
100,0.45733136,0.45733136,9,0
101,0.33918458,0.33918458,10,0
102,0.26162395,0.26162395,5,0
103,0.2450162,0.2450162,6,0
104,0.39513776,0.39513776,7,0
105,0.35740992,0.35740992,8,0
106,0.45733136,0.45733136,9,0
107,0.33918458,0.33918458,10,0
108,0.26162395,0.26162395,5,0
109,0.2450162,0.2450162,6,0
110,0.39513776,0.39513776,7,0
111,0.35740992,0.35740992,8,0
112,0.45733136,0.45733136,9,0
113,0.33918458,0.33918458,10,0
114,0.26162395,0.26162395,5,0
115,0.2450162,0.2450162,6,0
116,0.39513776,0.39513776,7,0
117,0.35740992,0.35740992,8,0
118,0.45733136,0.45733136,9,0
119,0.33918458,0.33918458,10,0
120,0.26162395,0.26162395,5,0
121,0.2450162,0.2450162,6,0
122,0.39513776,0.39513776,7,0
123,0.35740992,0.35740992,8,0
124,0.45733136,0.45733136,9,0
125,0.33918458,0.33918458,10,0
126,0.26162395,0.26162395,5,0
127,0.2450162,0.2450162,6,0
128,0.39513776,0.39513776,7,0
129,0.35740992,0.35740992,8,0
130,0.45733136,0.45733136,9,0
131,0.33918458,0.33918458,10,0
132,0.26162395,0.26162395,5,0
133,0.2450162,0.2450162,6,0
134,0.39513776,0.39513776,7,0
135,0.35740992,0.35740992,8,0
136,0.45733136,0.45733136,9,0
137,0.33918458,0.33918458,10,0
138,0.26162395,0.26162395,5,0
139,0.2450162,0.2450162,6,0
140,0.39513776,0.39513776,7,0
141,0.35740992,0.35740992,8,0
142,0.45733136,0.45733136,9,0
143,0.33918458,0.33918458,10,0
144,0.26162395,0.26162395,5,0
145,0.2450162,0.2450162,6,0
146,0.39513776,0.39513776,7,0
147,0.35740992,0.35740992,8,0
148,0.45733136,0.45733136,9,0
149,0.33918458,0.33918458,10,0
150,0.26162395,0.26162395,5,0
151,0.2450162,0.2450162,6,0
152,0.39513776,0.39513776,7,0
153,0.35740992,0.35740992,8,0
154,0.45733136,0.45733136,9,0
155,0.33918458,0.33918458,10,0
156,0.26162395,0.26162395,5,0
157,0.2450162,0.2450162,6,0
158,0.39513776,0.39513776,7,0
159,0.35740992,0.35740992,8,0
160,0.45733136,0.45733136,9,0
161,0.33918458,0.33918458,10,0
162,0.26162395,0.26162395,5,0
163,0.2450162,0.2450162,6,0
164,0.39513776,0.39513776,7,0
165,0.35740992,0.35740992,8,0
166,0.45733136,0.45733136,9,0
167,0.33918458,0.33918458,10,0
168,0.26162395,0.26162395,5,0
169,0.2450162,0.2450162,6,0
170,0.39513776,0.39513776,7,0
171,0.35740992,0.35740992,8,0
172,0.45733136,0.45733136,9,0
173,0.33918458,0.33918458,10,0
174,0.26162395,0.26162395,5,0
175,0.2450162,0.2450162,6,0
176,0.39513776,0.39513776,7,0
177,0.35740992,0.35740992,8,0
178,0.45733136,0.45733136,9,0
179,0.33918458,0.33918458,10,0
180,0.26162395,0.26162395,5,0
181,0.2450162,0.2450162,6,0
182,0.39513776,0.39513776,7,0
183,0.35740992,0.35740992,8,0
184,0.45733136,0.45733136,9,0
185,0.33918458,0.33918458,10,0
186,0.26162395,0.26162395,5,0
187,0.2450162,0.2450162,6,0
188,0.39513776,0.39513776,7,0
189,0.35740992,0.35740992,8,0
190,0.45733136,0.45733136,9,0
191,0.33918458,0.33918458,10,0
192,0.26162395,0.26162395,5,0
193,0.2450162,0.2450162,6,0
194,0.39513776,0.39513776,7,0
195,0.35740992,0.35740992,8,0
196,0.45733136,0.45733136,9,0
197,0.33918458,0.33918458,10,0
198,0.26162395,0.26162395,5,0
199,0.2450162,0.2450162,6,0
200,0.39513776,0.39513776,7,0
201,0.35740992,0.35740992,8,0
202,0.45733136,0.45733136,9,0
203,0.33918458,0.33918458,10,0
204,0.26162395,0.26162395,5,0
205,0.2450162,0.2450162,6,0
206,0.39513776,0.39513776,7,0
207,0.35740992,0.35740992,8,0
208,0.45733136,0.45733136,9,0
209,0.33918458,0.33918458,10,0
210,0.26162395,0.26162395,5,0
211,0.2450162,0.2450162,6,0
212,0.39513776,0.39513776,7,0
213,0.35740992,0.35740992,8,0
214,0.45733136,0.45733136,9,0
215,0.33918458,0.33918458,10,0
216,0.26162395,0.26162395,5,0
217,0.2450162,0.2450162,6,0
218,0.39513776,0.39513776,7,0
219,0.35740992,0.35740992,8,0
220,0.45733136,0.45733136,9,0
221,0.33918458,0.33918458,10,0
222,0.26162395,0.26162395,5,0
223,0.2450162,0.2450162,6,0
224,0.39513776,0.39513776,7,0
225,0.35740992,0.35740992,8,0
226,0.45733136,0.45733136,9,0
227,0.33918458,0.33918458,10,0
228,0.26162395,0.26162395,5,0
229,0.2450162,0.2450162,6,0
230,0.39513776,0.39513776,7,0
231,0.35740992,0.35740992,8,0
232,0.45733136,0.45733136,9,0
233,0.33918458,0.33918458,10,0
234,0.26162395,0.26162395,5,0
235,0.2450162,0.2450162,6,0
236,0.39513776,0.39513776,7,0
237,0.35740992,0.35740992,8,0
238,0.45733136,0.45733136,9,0
239,0.33918458,0.33918458,10,0
240,0.26162395,0.26162395,5,0
241,0.2450162,0.2450162,6,0
242,0.39513776,0.39513776,7,0
243,0.35740992,0.35740992,8,0
244,0.45733136,0.45733136,9,0
245,0.33918458,0.33918458,10,0
246,0.26162395,0.26162395,5,1
247,0.2450162,0.2450162,6,1
248,0.39513776,0.39513776,7,1
249,0.35740992,0.35740992,8,1
250,0.45733136,0.45733136,9,1
251,0.33918458,0.33918458,10,1
252,0.26162395,0.26162395,5,1
253,0.2450162,0.2450162,6,1
254,0.39513776,0.39513776,7,1
255,0.35740992,0.35740992,8,1
256,0.45733136,0.45733136,9,1
257,0.33918458,0.33918458,10,1
258,0.26162395,0.26162395,5,1
259,0.2450162,0.2450162,6,1
260,0.39513776,0.39513776,7,1
261,0.35740992,0.35740992,8,1
